,x_time,y_amplitude
58,-9.42,-0.004777943
59,-9.41,-0.014777423
60,-9.4,-0.024775425
61,-9.39,-0.03477095
62,-9.38,-0.044762998
63,-9.37,-0.05475057
64,-9.36,-0.064732667
65,-9.35,-0.07470829
66,-9.34,-0.084676443
67,-9.33,-0.094636128
68,-9.32,-0.10458635
69,-9.31,-0.114526113
70,-9.3,-0.124454424
71,-9.29,-0.134370289
72,-9.28,-0.144272717
73,-9.27,-0.154160718
74,-9.26,-0.164033303
75,-9.25,-0.173889485
76,-9.24,-0.183728279
77,-9.23,-0.193548699
78,-9.22,-0.203349765
79,-9.21,-0.213130496
80,-9.2,-0.222889914
81,-9.19,-0.232627043
82,-9.18,-0.24234091
83,-9.17,-0.252030543
84,-9.16,-0.261694973
85,-9.15,-0.271333234
86,-9.14,-0.280944362
87,-9.13,-0.290527395
88,-9.12,-0.300081376
89,-9.11,-0.309605349
90,-9.1,-0.319098362
91,-9.09,-0.328559466
92,-9.08,-0.337987713
93,-9.07,-0.347382162
94,-9.06,-0.356741874
95,-9.05,-0.366065911
96,-9.04,-0.375353342
97,-9.03,-0.384603238
98,-9.02,-0.393814674
99,-9.01,-0.402986729
100,-9,-0.412118485
101,-8.99,-0.42120903
102,-8.98,-0.430257455
103,-8.97,-0.439262854
104,-8.96,-0.448224327
105,-8.95,-0.457140978
106,-8.94,-0.466011915
107,-8.93,-0.474836252
108,-8.92,-0.483613105
109,-8.91,-0.492341598
110,-8.9,-0.501020856
111,-8.89,-0.509650013
112,-8.88,-0.518228206
113,-8.87,-0.526754576
114,-8.86,-0.535228271
115,-8.85,-0.543648444
116,-8.84,-0.552014252
117,-8.83,-0.560324859
118,-8.82,-0.568579435
119,-8.81,-0.576777152
120,-8.8,-0.584917193
121,-8.79,-0.592998742
122,-8.78,-0.601020992
123,-8.77,-0.608983141
124,-8.76,-0.616884391
125,-8.75,-0.624723954
126,-8.74,-0.632501045
127,-8.73,-0.640214886
128,-8.72,-0.647864706
129,-8.71,-0.65544974
130,-8.7,-0.66296923
131,-8.69,-0.670422424
132,-8.68,-0.677808575
133,-8.67,-0.685126947
134,-8.66,-0.692376806
135,-8.65,-0.699557429
136,-8.64,-0.706668096
137,-8.63,-0.713708097
138,-8.62,-0.720676727
139,-8.61,-0.727573291
140,-8.6,-0.734397098
141,-8.59,-0.741147466
142,-8.58,-0.747823719
143,-8.57,-0.754425191
144,-8.56,-0.760951221
145,-8.55,-0.767401157
146,-8.54,-0.773774353
147,-8.53,-0.780070172
148,-8.52,-0.786287985
149,-8.51,-0.79242717
150,-8.5,-0.798487113
151,-8.49,-0.804467207
152,-8.48,-0.810366856
153,-8.47,-0.816185469
154,-8.46,-0.821922463
155,-8.45,-0.827577266
156,-8.44,-0.833149313
157,-8.43,-0.838638044
158,-8.42,-0.844042913
159,-8.41,-0.849363379
160,-8.4,-0.854598908
161,-8.39,-0.859748978
162,-8.38,-0.864813075
163,-8.37,-0.86979069
164,-8.36,-0.874681328
165,-8.35,-0.879484498
166,-8.34,-0.88419972
167,-8.33,-0.888826523
168,-8.32,-0.893364444
169,-8.31,-0.897813029
170,-8.3,-0.902171834
171,-8.29,-0.906440422
172,-8.28,-0.910618367
173,-8.27,-0.914705251
174,-8.26,-0.918700665
175,-8.25,-0.92260421
176,-8.24,-0.926415495
177,-8.23,-0.93013414
178,-8.22,-0.933759772
179,-8.21,-0.937292028
180,-8.2,-0.940730557
181,-8.19,-0.944075013
182,-8.18,-0.947325062
183,-8.17,-0.950480379
184,-8.16,-0.95354065
185,-8.15,-0.956505567
186,-8.14,-0.959374834
187,-8.13,-0.962148164
188,-8.12,-0.964825281
189,-8.11,-0.967405916
190,-8.1,-0.969889811
191,-8.09,-0.972276718
192,-8.08,-0.974566398
193,-8.07,-0.976758622
194,-8.06,-0.978853171
195,-8.05,-0.980849836
196,-8.04,-0.982748416
197,-8.03,-0.984548723
198,-8.02,-0.986250575
199,-8.01,-0.987853803
200,-8,-0.989358247
201,-7.99,-0.990763755
202,-7.98,-0.992070188
203,-7.97,-0.993277415
204,-7.96,-0.994385315
205,-7.95,-0.995393777
206,-7.94,-0.996302701
207,-7.93,-0.997111995
208,-7.92,-0.997821579
209,-7.91,-0.998431382
210,-7.9,-0.998941342
211,-7.89,-0.999351409
212,-7.88,-0.999661541
213,-7.87,-0.999871709
214,-7.86,-0.99998189
215,-7.85,-0.999992073
216,-7.84,-0.999902259
217,-7.83,-0.999712454
218,-7.82,-0.99942268
219,-7.81,-0.999032964
220,-7.8,-0.998543345
221,-7.79,-0.997953873
222,-7.78,-0.997264607
223,-7.77,-0.996475615
224,-7.76,-0.995586976
225,-7.75,-0.994598779
226,-7.74,-0.993511123
227,-7.73,-0.992324117
228,-7.72,-0.99103788
229,-7.71,-0.989652539
230,-7.7,-0.988168234
231,-7.69,-0.986585113
232,-7.68,-0.984903334
233,-7.67,-0.983123066
234,-7.66,-0.981244486
235,-7.65,-0.979267783
236,-7.64,-0.977193153
237,-7.63,-0.975020806
238,-7.62,-0.972750956
239,-7.61,-0.970383833
240,-7.6,-0.967919672
241,-7.59,-0.96535872
242,-7.58,-0.962701233
243,-7.57,-0.959947476
244,-7.56,-0.957097726
245,-7.55,-0.954152266
246,-7.54,-0.951111392
247,-7.53,-0.947975408
248,-7.52,-0.944744627
249,-7.51,-0.941419373
250,-7.5,-0.937999977
251,-7.49,-0.934486782
252,-7.48,-0.930880139
253,-7.47,-0.927180409
254,-7.46,-0.923387961
255,-7.45,-0.919503176
256,-7.44,-0.915526441
257,-7.43,-0.911458154
258,-7.42,-0.907298722
259,-7.41,-0.903048561
260,-7.4,-0.898708096
261,-7.39,-0.894277761
262,-7.38,-0.889757998
263,-7.37,-0.885149261
264,-7.36,-0.88045201
265,-7.35,-0.875666714
266,-7.34,-0.870793852
267,-7.33,-0.865833911
268,-7.32,-0.860787388
269,-7.31,-0.855654787
270,-7.3,-0.850436621
271,-7.29,-0.845133412
272,-7.28,-0.83974569
273,-7.27,-0.834273995
274,-7.26,-0.828718872
275,-7.25,-0.823080879
276,-7.24,-0.817360578
277,-7.23,-0.811558542
278,-7.22,-0.805675351
279,-7.21,-0.799711593
280,-7.2,-0.793667864
281,-7.19,-0.787544769
282,-7.18,-0.78134292
283,-7.17,-0.775062938
284,-7.16,-0.76870545
285,-7.15,-0.762271092
286,-7.14,-0.755760508
287,-7.13,-0.749174348
288,-7.12,-0.742513272
289,-7.11,-0.735777945
290,-7.1,-0.72896904
291,-7.09,-0.722087239
292,-7.08,-0.715133231
293,-7.07,-0.708107709
294,-7.06,-0.701011377
295,-7.05,-0.693844945
296,-7.04,-0.686609129
297,-7.03,-0.679304652
298,-7.02,-0.671932246
299,-7.01,-0.664492647
300,-7,-0.656986599
301,-6.99,-0.649414853
302,-6.98,-0.641778166
303,-6.97,-0.634077302
304,-6.96,-0.62631303
305,-6.95,-0.618486128
306,-6.94,-0.610597378
307,-6.93,-0.602647568
308,-6.92,-0.594637495
309,-6.91,-0.586567958
310,-6.9,-0.578439764
311,-6.89,-0.570253728
312,-6.88,-0.562010666
313,-6.87,-0.553711404
314,-6.86,-0.545356771
315,-6.85,-0.536947602
316,-6.84,-0.52848474
317,-6.83,-0.519969029
318,-6.82,-0.511401322
319,-6.81,-0.502782476
320,-6.8,-0.494113351
321,-6.79,-0.485394816
322,-6.78,-0.476627741
323,-6.77,-0.467813004
324,-6.76,-0.458951486
325,-6.75,-0.450044074
326,-6.74,-0.441091657
327,-6.73,-0.432095132
328,-6.72,-0.423055397
329,-6.71,-0.413973357
330,-6.7,-0.404849921
331,-6.69,-0.395685999
332,-6.68,-0.38648251
333,-6.67,-0.377240372
334,-6.66,-0.367960511
335,-6.65,-0.358643853
336,-6.64,-0.349291332
337,-6.63,-0.339903882
338,-6.62,-0.330482442
339,-6.61,-0.321027954
340,-6.6,-0.311541364
341,-6.59,-0.302023619
342,-6.58,-0.292475672
343,-6.57,-0.282898479
344,-6.56,-0.273292995
345,-6.55,-0.263660182
346,-6.54,-0.254001004
347,-6.53,-0.244316426
348,-6.52,-0.234607416
349,-6.51,-0.224874946
350,-6.5,-0.215119988
351,-6.49,-0.205343519
352,-6.48,-0.195546515
353,-6.47,-0.185729957
354,-6.46,-0.175894826
355,-6.45,-0.166042106
356,-6.44,-0.156172782
357,-6.43,-0.14628784
358,-6.42,-0.13638827
359,-6.41,-0.126475061
360,-6.4,-0.116549205
361,-6.39,-0.106611694
362,-6.38,-0.096663522
363,-6.37,-0.086705683
364,-6.36,-0.076739174
365,-6.35,-0.066764992
366,-6.34,-0.056784132
367,-6.33,-0.046797595
368,-6.32,-0.036806377
369,-6.31,-0.02681148
370,-6.3,-0.0168139
371,-6.29,-0.00681464
372,-6.28,0.003185302
373,-6.27,0.013184925
374,-6.26,0.02318323
375,-6.25,0.033179217
376,-6.24,0.043171885
377,-6.23,0.053160237
378,-6.22,0.063143272
379,-6.21,0.073119994
380,-6.2,0.083089403
381,-6.19,0.093050503
382,-6.18,0.103002299
383,-6.17,0.112943794
384,-6.16,0.122873995
385,-6.15,0.132791909
386,-6.14,0.142696544
387,-6.13,0.152586909
388,-6.12,0.162462015
389,-6.11,0.172320876
390,-6.1,0.182162504
391,-6.09,0.191985917
392,-6.08,0.201790131
393,-6.07,0.211574166
394,-6.06,0.221337044
395,-6.05,0.231077788
396,-6.04,0.240795425
397,-6.03,0.250488983
398,-6.02,0.260157491
399,-6.01,0.269799985
400,-6,0.279415498
401,-5.99,0.28900307
402,-5.98,0.298561742
403,-5.97,0.308090559
404,-5.96,0.317588566
405,-5.95,0.327054815
406,-5.94,0.336488358
407,-5.93,0.345888253
408,-5.92,0.35525356
409,-5.91,0.364583341
410,-5.9,0.373876665
411,-5.89,0.383132601
412,-5.88,0.392350224
413,-5.87,0.401528612
414,-5.86,0.410666848
415,-5.85,0.419764018
416,-5.84,0.428819211
417,-5.83,0.437831523
418,-5.82,0.446800052
419,-5.81,0.455723902
420,-5.8,0.464602179
421,-5.79,0.473433997
422,-5.78,0.482218472
423,-5.77,0.490954725
424,-5.76,0.499641883
425,-5.75,0.508279077
426,-5.74,0.516865444
427,-5.73,0.525400125
428,-5.72,0.533882266
429,-5.71,0.54231102
430,-5.7,0.550685543
431,-5.69,0.559004997
432,-5.68,0.567268552
433,-5.67,0.57547538
434,-5.66,0.583624661
435,-5.65,0.591715581
436,-5.64,0.599747329
437,-5.63,0.607719103
438,-5.62,0.615630105
439,-5.61,0.623479545
440,-5.6,0.631266638
441,-5.59,0.638990604
442,-5.58,0.646650672
443,-5.57,0.654246076
444,-5.56,0.661776055
445,-5.55,0.669239857
446,-5.54,0.676636736
447,-5.53,0.683965952
448,-5.52,0.691226772
449,-5.51,0.698418469
450,-5.5,0.705540326
451,-5.49,0.712591628
452,-5.48,0.719571673
453,-5.47,0.726479761
454,-5.46,0.733315201
455,-5.45,0.74007731
456,-5.44,0.746765413
457,-5.43,0.753378839
458,-5.42,0.759916929
459,-5.41,0.766379027
460,-5.4,0.772764488
461,-5.39,0.779072673
462,-5.38,0.785302951
463,-5.37,0.7914547
464,-5.36,0.797527304
465,-5.35,0.803520156
466,-5.34,0.809432656
467,-5.33,0.815264214
468,-5.32,0.821014247
469,-5.31,0.826682178
470,-5.3,0.832267442
471,-5.29,0.83776948
472,-5.28,0.843187742
473,-5.27,0.848521685
474,-5.26,0.853770778
475,-5.25,0.858934493
476,-5.24,0.864012316
477,-5.23,0.869003739
478,-5.22,0.873908262
479,-5.21,0.878725395
480,-5.2,0.883454656
481,-5.19,0.888095572
482,-5.18,0.892647679
483,-5.17,0.897110523
484,-5.16,0.901483656
485,-5.15,0.905766641
486,-5.14,0.909959051
487,-5.13,0.914060466
488,-5.12,0.918070475
489,-5.11,0.921988678
490,-5.1,0.925814682
491,-5.09,0.929548106
492,-5.08,0.933188576
493,-5.07,0.936735728
494,-5.06,0.940189208
495,-5.05,0.943548669
496,-5.04,0.946813776
497,-5.03,0.949984202
498,-5.02,0.953059631
499,-5.01,0.956039754
500,-5,0.958924275
501,-4.99,0.961712903
502,-4.98,0.964405362
503,-4.97,0.96700138
504,-4.96,0.969500699
505,-4.95,0.971903069
506,-4.94,0.97420825
507,-4.93,0.97641601
508,-4.92,0.97852613
509,-4.91,0.980538398
510,-4.9,0.982452613
511,-4.89,0.984268583
512,-4.88,0.985986127
513,-4.87,0.987605074
514,-4.86,0.989125261
515,-4.85,0.990546536
516,-4.84,0.991868757
517,-4.83,0.993091793
518,-4.82,0.99421552
519,-4.81,0.995239826
520,-4.8,0.996164609
521,-4.79,0.996989776
522,-4.78,0.997715246
523,-4.77,0.998340944
524,-4.76,0.998866809
525,-4.75,0.999292789
526,-4.74,0.99961884
527,-4.73,0.99984493
528,-4.72,0.999971036
529,-4.71,0.999997146
530,-4.7,0.999923258
531,-4.69,0.999749377
532,-4.68,0.999475523
533,-4.67,0.999101722
534,-4.66,0.998628011
535,-4.65,0.998054439
536,-4.64,0.997381062
537,-4.63,0.996607947
538,-4.62,0.995735173
539,-4.61,0.994762826
540,-4.6,0.993691004
541,-4.59,0.992519813
542,-4.58,0.991249371
543,-4.57,0.989879805
544,-4.56,0.988411252
545,-4.55,0.986843859
546,-4.54,0.985177782
547,-4.53,0.983413188
548,-4.52,0.981550253
549,-4.51,0.979589164
550,-4.5,0.977530118
551,-4.49,0.975373319
552,-4.48,0.973118983
553,-4.47,0.970767337
554,-4.46,0.968318614
555,-4.45,0.965773061
556,-4.44,0.963130931
557,-4.43,0.960392488
558,-4.42,0.957558007
559,-4.41,0.954627772
560,-4.4,0.951602074
561,-4.39,0.948481217
562,-4.38,0.945265512
